TIMESTAMP_START,TIMESTAMP_END,SW_IN_F_MDS,SW_IN_F_MDS_QC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,CO2_F_MDS,LE_F_MDS,LE_F_MDS_QC,H_F_MDS,H_F_MDS_QC,PPFD_IN,PA,P,RECO_DT_VUT_USTAR50,GPP_DT_VUT_USTAR50,G_F_MDS,TA_F_MDS,TA_F_MDS_QC,USTAR,VPD_F_MDS,VPD_F_MDS_QC,WS_F,PET,ET,NETRAD,LE_CORR,ETkg,CO2_F_MDS_QC,GPP_NT_VUT_USTAR50,G_F_MDS_QC,H_CORR,H_RANDUNC,H_RANDUNC_N,LE_RANDUNC,LE_RANDUNC_N,LW_OUT,LW_IN_F_MDS,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_RANDUNC_N,NIGHT,PPFD_DIF,PPFD_OUT,RECO_NT_VUT_USTAR50,SWC_F_MDS_1,SWC_F_MDS_1_QC,SWC_F_MDS_2,SWC_F_MDS_2_QC,SW_OUT,SW_IN_POT,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_1_QC,TS_F_MDS_2_QC
202105260300,202105260330,131.854108768038,2,6.90720316666667,2,406.831,1.55971,0,-3.62936,0,303.264450166487,98746.1,98746.1,2.18336769820524,2.42931930919936,36.1372932454133,20.671,0,0.0286479,16.4942,0,0.60189,4.12814380275867e-05,0.0353086124377767,22.1673399120799,101.222487712035,6.3609453947803e-07,-9999,2.42931930919936,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999
202105260330,202105260400,224.220510444166,0,5.60822,0,411.683,1.44443,0,-1.88132,0,515.707174021581,98747.1,98747.1,2.17903543309079,3.77375831854272,37.6812350484871,20.611,0,0.0189171,16.3238,0,0.526612,6.53594944343986e-05,0.032697015170795,37.244345048487,160.271410421135,5.8904588346612e-07,-9999,3.77375831854272,-9999,-9999,-9999,-9999,-9999,-9999,-87.8781513775666,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,186.976165395678,0,-9999,-9999,-9999,-9999
202105260400,202105260430,296.695142380556,1,4.2846685,1,405.646,1.6096,0,-5.06969,0,682.39882747528,98744.6,98744.6,2.15341972119206,4.70425683905192,49.4104467044238,20.256,0,0.039601,15.804,0,0.69529,8.81431665131268e-05,0.0364234088221638,48.3533897044238,216.214595134621,6.5617790848575e-07,-9999,4.70425683905192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42.3125127925451,-9999,-9999,-9999,-9999
202105260430,202105260500,369.169774316947,0,2.961117,0,409.02,0.487586,0,-2.16481,0,849.090480928979,98748.7,98748.7,2.14195642411354,5.53441406560686,61.1396583603605,20.097,0,0.0303217,15.4626,0,0.6051,0.000106441753400548,0.0110318193360719,59.4624343603605,261.141016248895,1.9874131424875e-07,-9999,5.53441406560686,-9999,-9999,-9999,-9999,-9999,-9999,-100.28862822303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,309.707339956587,42.3125127925451,-9999,-9999,-9999,-9999
202105260500,202105260530,440.121138395923,1,6.3237535,1,411.916,1.67109,0,-1.13818,0,1012.27861831062,98735.9,98735.9,2.13828082243752,6.25022203190076,71.3077820684388,20.046,0,0.0140577,15.3648,0,0.585776,0.000124269114614406,0.037807186373846,70.3164550684388,304.89315179903,6.8110704853702e-07,-9999,6.25022203190076,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,210.758818997859,-9999,-9999,-9999,-9999
202105260530,202105260600,511.072502474898,0,9.68639,0,418.132,6.72582,0,-7.03125,0,1175.46675569227,98725.3,98725.3,2.10969117099683,6.97080865320189,81.4759057765172,19.6490000000001,0,0.0395368,14.69,0,0.813918,0.000144575534812249,0.152108415503626,81.1704757765172,354.85080026548,2.74027569565416e-06,-9999,6.97080865320189,-9999,-9999,-9999,-9999,-9999,-9999,-111.147360719344,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,429.902026698381,210.758818997859,-9999,-9999,-9999,-9999
202105260600,202105260630,573.179553919876,1,6.736603,1,417.983,4.83438,0,-3.7755,0,1318.31297401572,98725.4,98725.4,2.10307168577197,7.51232483390814,92.6236237108976,19.557,0,0.0344779,14.5269,0,0.753629,0.00016090667863865,0.109322664385173,90.5555937108976,394.96956423876,1.96947840924493e-06,-9999,7.51232483390814,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,391.523971626259,-9999,-9999,-9999,-9999
202105260630,202105260700,635.286605364854,0,3.786816,0,418.328,5.15955,0,-8.99018,0,1461.15919233916,98732,98732,2.08408928607133,8.04980048792431,103.771341645278,19.293,0,0.0555317,14.171,0,0.840905,0.000177576866641406,0.116646191282775,99.940711645278,436.000146013328,2.10141379689276e-06,-9999,8.04980048792431,-9999,-9999,-9999,-9999,-9999,-9999,-116.857571247352,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,535.345893719576,391.523971626259,-9999,-9999,-9999,-9999
202105260700,202105260730,683.087202547285,1,6.173463,1,421.137,1.72816,0,-4.44287,0,1571.10056585876,98748.1,98748.1,2.06261368164343,8.4872079891887,106.981736876078,18.994,0,0.0383474,13.671,0,0.702594,0.000188711232494073,0.0390586618412338,107.101711876078,463.471809142195,7.03652729495143e-07,-9999,8.4872079891887,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,572.28912425466,-9999,-9999,-9999,-9999
202105260730,202105260800,730.887799729716,0,8.56011,0,424.501,10.2987,0,-6.22812,0,1681.04193937835,98750,98750,2.05306925086301,8.87264983995542,110.192132106877,18.861,0,0.016944,13.4102,0,0.587359,0.000201134408731618,0.232734133790389,114.262712106877,494.04633352086,4.19277058579133e-06,-9999,8.87264983995542,-9999,-9999,-9999,-9999,-9999,-9999,-119.895558596585,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,616.625087622839,572.28912425466,-9999,-9999,-9999,-9999
